label	category
1	none
1	none
0	syntax
1	none
1	none
1	none
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	morphology
0	syntax
0	syntax, morphology
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax, semantics
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax, morphology
0	syntax, semantics
1	none
0	syntax
0	syntax
1	none
0	syntax
1	none
0	syntax
1	none
0	syntax
0	morphology
0	syntax
0	syntax
1	none
1	none
0	syntax
0	syntax
0	syntax, morphology
0	syntax, semantics
1	none
1	none
0	syntax
1	none
0	syntax, morphology
0	syntax
0	syntax
0	syntax, semantics
0	syntax, morphology
0	syntax
0	syntax
1	none
0	syntax, semantics
1	none
0	syntax
0	syntax, morphology
0	syntax, morphology
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	none
1	none
0	syntax
1	none
0	syntax
1	none
1	none
0	syntax, semantics
1	none
0	morphology
0	none
0	syntax
0	syntax, semantics
0	syntax, morphology
1	none
1	none
0	syntax
1	none
0	syntax
1	none
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
1	none
1	none
0	syntax
1	none
0	syntax
1	none
0	morphology
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
1	none
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	morphology
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
1	none
0	syntax
0	morphology
0	syntax
0	semantics, morphology
0	none
1	none
0	syntax
1	none
0	syntax
1	none
1	none
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
1	none
0	syntax
1	none
0	syntax, morphology
1	none
0	syntax
1	none
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	morphology
0	syntax, morphology
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax, morphology
0	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
